model,mixing_level,mean_cosine_distance,n
mmBERT,30,0.05114731675102597,105
mmBERT,60,0.16041569993609472,105
mmBERT,100,0.17062991857528687,105
dictabert,30,0.16997432424908593,105
dictabert,60,0.3071763895806812,105
dictabert,100,0.3303956236158099,105
xlm-roberta,30,0.0016263899349030994,105
xlm-roberta,60,0.00308899652390253,105
xlm-roberta,100,0.003394011656443278,105
mpnet-multilingual,30,0.1681374348345257,105
mpnet-multilingual,60,0.21082139554477874,105
mpnet-multilingual,100,0.20183425886290415,105
LaBSE,30,0.11633522396995907,105
LaBSE,60,0.15079545407068162,105
LaBSE,100,0.1463672439257304,105
alephbertgimmel-sbert,30,0.40261261803763254,105
alephbertgimmel-sbert,60,0.5584174722433091,105
alephbertgimmel-sbert,100,0.5785507890440169,105
