model,condition,mixing_level,accuracy,f1,n
mmBERT,A,0,0.75,0.562962962962963,16
mmBERT,A,30,0.6875,0.5016835016835017,16
mmBERT,A,60,0.5,0.367003367003367,16
mmBERT,A,100,0.4375,0.3087719298245614,16
mmBERT,B,0,0.9375,0.903030303030303,16
mmBERT,B,30,0.9375,0.903030303030303,16
mmBERT,B,60,0.9375,0.903030303030303,16
mmBERT,B,100,0.9375,0.903030303030303,16
dictabert,A,0,0.625,0.4456140350877193,16
dictabert,A,30,0.5,0.367003367003367,16
dictabert,A,60,0.3125,0.22857142857142856,16
dictabert,A,100,0.25,0.1762820512820513,16
dictabert,B,0,0.9375,0.903030303030303,16
dictabert,B,30,0.875,0.8555555555555555,16
dictabert,B,60,0.75,0.7611721611721611,16
dictabert,B,100,0.8125,0.8087912087912089,16
