model,mixing_level,auc,mean_similarity_same_meaning,mean_similarity_different_meaning,n_pairs
mmBERT,30,0.9510204081632653,0.948852683248974,0.8986587950161525,210
mmBERT,60,0.7765986394557822,0.8395843000639053,0.8014087200164794,210
mmBERT,100,0.8673922902494331,0.8293700814247131,0.7929548269226437,210
dictabert,30,0.9825850340136056,0.8300256757509141,0.6665453082039243,210
dictabert,60,0.8848072562358276,0.6928236104193188,0.6094633695625123,210
dictabert,100,0.8676643990929706,0.6696043763841901,0.5956257709435054,210
xlm-roberta,30,0.9605442176870748,0.998373610065097,0.9967883689062936,210
xlm-roberta,60,0.8914285714285715,0.9969110034760975,0.9956776993615287,210
xlm-roberta,100,0.8778231292517007,0.9966059883435567,0.9954709921564374,210
mpnet-multilingual,30,0.9994557823129252,0.8318625651654743,0.1768340565452707,210
mpnet-multilingual,60,0.9993650793650793,0.7891786044552213,0.17156538475482236,210
mpnet-multilingual,100,0.9992743764172336,0.7981657411370958,0.16579007639970986,210
LaBSE,30,1.0,0.8836647760300409,0.3104151519991103,210
LaBSE,60,1.0,0.8492045459293184,0.2280298134855305,210
LaBSE,100,1.0,0.8536327560742696,0.22512312478696306,210
alephbertgimmel-sbert,30,0.9968253968253968,0.5973873819623675,0.17636586046788752,210
alephbertgimmel-sbert,60,0.9608163265306122,0.441582527756691,0.17640207818753662,210
alephbertgimmel-sbert,100,0.9606349206349206,0.4214492109559831,0.16966090284820115,210
