model,condition,mixing_level,accuracy,n,ci_low,ci_high
mmBERT,A,0,0.75,16,0.5050123107060135,0.8981809801576265
mmBERT,A,30,0.6875,16,0.4440393186673406,0.8583556494803894
mmBERT,A,60,0.5,16,0.2799923761135083,0.7200076238864916
mmBERT,A,100,0.4375,16,0.2309836333518552,0.6682180439322347
mmBERT,B,0,0.9375,16,0.7167073163197013,0.9888809426916687
mmBERT,B,30,0.9375,16,0.7167073163197013,0.9888809426916687
mmBERT,B,60,0.9375,16,0.7167073163197013,0.9888809426916687
mmBERT,B,100,0.9375,16,0.7167073163197013,0.9888809426916687
dictabert,A,0,0.625,16,0.3864064709793481,0.815190174452472
dictabert,A,30,0.5,16,0.2799923761135083,0.7200076238864916
dictabert,A,60,0.3125,16,0.14164435051961052,0.5559606813326594
dictabert,A,100,0.25,16,0.10181901984237346,0.49498768929398645
dictabert,B,0,0.9375,16,0.7167073163197013,0.9888809426916687
dictabert,B,30,0.875,16,0.6397666856325173,0.9650232506629428
dictabert,B,60,0.75,16,0.5050123107060135,0.8981809801576265
dictabert,B,100,0.8125,16,0.5699064013154177,0.9340852122641324
